port_id,channel_id
9,61
74,62
75,63
6,64
7,65
8,66
72,66
10,67
73,67
7,68
6,69
9,70
74,71
75,72
68,1
71,2
19,3
12,4
14,5
15,6
21,6
17,7
26,7
17,8
41,8
17,9
57,9
23,10
27,10
23,11
63,11
22,12
28,12
24,13
32,13
24,14
42,14
24,15
46,15
24,16
55,16
24,17
59,17
24,18
64,18
13,19
33,19
37,20
43,20
36,21
47,21
36,22
49,22
16,23
50,23
16,24
54,24
16,25
65,25
48,26
52,26
48,27
66,27
51,28
53,28
51,29
67,29
38,30
58,30
18,31
62,31
60,32
69,32
44,33
70,33
12,34
14,35
68,36
71,37
19,38
113,39
116,40
78,41
79,42
83,42
80,43
88,43
80,44
103,44
85,45
89,45
85,46
112,46
84,47
90,47
86,48
94,48
97,49
99,49
95,50
100,50
101,51
104,51
101,52
110,52
96,53
105,53
96,54
111,54
81,55
109,55
107,56
114,56
92,57
115,57
78,58
113,59
116,60
