block_id,port_id
1,3
1,4
1,5
2,8
2,9
2,10
3,11
4,13
5,15
5,16
5,17
5,18
5,19
5,20
6,22
6,23
6,24
6,25
7,29
7,30
7,31
8,34
8,35
8,36
8,37
8,38
8,39
8,40
9,44
9,45
10,48
11,51
12,56
13,60
13,61
14,68
15,71
16,74
16,75
17,76
18,79
18,80
18,81
18,82
19,84
19,85
19,86
19,87
20,91
20,92
20,93
21,95
21,96
21,97
21,98
22,101
22,102
23,106
23,107
23,108
24,113
25,116
