block_id,port_id
1,1
1,2
1,3
1,4
1,5
2,10
2,11
3,13
3,14
4,18
4,19
4,20
4,21
5,26
5,27
6,29
6,30
6,31
6,32
7,38
7,39
7,40
7,41
7,42
8,48
8,49
8,50
8,51
8,52
8,53
9,55
9,56
9,57
9,58
10,63
10,64
10,65
10,66
10,67
11,72
11,73
11,74
